name,address,phone,email,lat,lng,url,country,state,city,star_count,rating_count,zip,primary_category_name,category_name
"Crazy Coffee","Gt Square Mall, Kalyan Colony, D-Block, Sector 4, Malviya Nagar, Jaipur, Rajasthan 302017, India","+91 141 480 7615","crazycoffeeindia@gmail.com",26.8546621,75.8073442,"http://www.crazycoffeeindia.com/","India","Rajasthan","Jaipur",4.4,202,"302017","Cafes","Coffee stores,Cafes"
"The Rotela Cafe","Circle, WelcomHeritage Cheetahgarh Resort & Spa, Rotela Lake, Varawal, Bera, Rajasthan 306126, India","+91 97111 19344","info@cheetahgarh.com",25.0163546,73.1419425,"https://cheetahgarh.com/signature-dining/","India","Rajasthan","",5,5,"306126","Cafes","Cafes"
"Rang Mahal","near kukdeshwar kund Ram pole Fort, Chittorgarh Fort Village, Chittorgarh, Rajasthan 321001, India","+91 92526 66888","info@rangmahalchittorgarh.com",24.896825,74.6440326,"http://www.rangmahalchittorgarh.com/","India","Rajasthan","Chittaurgarh",4.6,65,"321001","Cafes","Hotels,Restaurants,Boutiques,Heritage buildings,Cafes"
"Vodafone","J42P+HVP, Chandpol, Sikar, Rajasthan 332001, India","+91 1800 123 123 123","customercare@vodafoneidea.com",27.6014714,75.1372154,"https://www.myvi.in/","India","Rajasthan","",2,1,"332001","Cafes","Cafes"
"Indian Coffee House Jawaher Kala Kendra Jaipur","Jawahar Kala Kendra, JAWAHAR KALA KENDRA, Jawahar Lal Nehru Marg, Gandhi Nagar, Jaipur, Rajasthan 302001, India","+91 83859 19943","yuwasansad@gmail.com",26.8766542,75.8089635,"http://www.indianyouthparliament.co.in/","India","Rajasthan","Jaipur",4.3,2565,"302001","Cafes","Breakfast restaurants,Vegetarian restaurants,Cafes,South Indian restaurants,Indian restaurants,Coffee shops"
"Nothing Before Coffee","Vaibhav tower, Vaishali Nagar, Jaipur, Rajasthan 302021, India","+91 81144 03529","info@nothingbeforecoffee.com",26.9127178,75.7434923,"https://www.nothingbeforecoffeeindia.com/","India","Rajasthan","Jaipur",4.8,1213,"302021","Cafes","Vegetarian cafe and delis,Cafes,Coffee wholesalers,Coffee stands"
"Tea Tradition Cafe","Plot No. 8, Govind Marg, Block-B, Malviya Nagar, Jaipur, Rajasthan 302017, India","+91 90016 21177","info@teatradition.in",26.8556463,75.8163951,"http://www.teatradition.in/","India","Rajasthan","Jaipur",2.7,3,"302017","Cafes","Cafes"
"Chai Point","8JQR+QRR, Barla Choraha, Harijan Basti, Sindhu Nagar, Shastri Nagar, Bhilwara, Rajasthan 311001, India","+91 88801 41000","customercare@chaipoint.com",25.3394935,74.6420227,"https://shop.chaipoint.com/","India","Rajasthan","",0,0,"311001","Cafes","Cafes"
"The Lassi Corner","Shop No-3, Piprali Rd, Jat Colony, Sikar, Samrathpura Rural, Rajasthan 332001, India","+91 74068 04000","contactus@thelassicorner.com",27.6216492,75.1580292,"https://www.lassicorner.com/","India","Rajasthan","",4.7,34,"332001","Cafes","Cafes"
"Arabica Cafe Club","Street Number 4, 2nd Phase, M.I.A. 1st Phase, Basni, Basni, Jodhpur, Rajasthan 342008, India","+91 87694 12481","arabicacafeclub@gmail.com",26.2375913,73.0058966,"http://www.arabicacafeclub.com/","India","Rajasthan","Jodhpur",4.3,797,"342008","Cafes","Cafes"
"Chai Sutta Bar","Vaishali Nagar, Ajmer, Rajasthan 305004, India","+91 62623 00031","info@chaisuttabarindia.com",26.4871219,74.6178495,"https://chaisuttabarindia.com/","India","Rajasthan","Ajmer",4.3,128,"305004","Cafes","Cafes"
"Café Coffee Break-CCB","20, West Patel Nagar, Circuit House Rd, near On The Rock, Ajit Colony, Jodhpur, Rajasthan 342001, India","+91 97995 52525","info@cafecoffeebreak.in",26.280704,73.0374187,"http://www.cafecoffeebreak.in/","India","Rajasthan","Jodhpur",4.4,973,"342001","Cafes","Coffee shops,Fast food restaurants,Cafes,Breakfast restaurants,Vegetarian restaurants"
"tea point","1984, Kache Basti, Nandpuri Colony, Jagatpura, Jaipur, Rajasthan 302017, India","+91 89528 80088","customercare@chaipoint.com",26.8359867,75.822059,"https://shop.chaipoint.com/","India","Rajasthan","Jaipur",4.7,6,"302017","Cafes","Coffee shops,Cafes"
